corruption,severity,size_bin,class_name,AP50,AP50_95,R50_max,R50_at_conf_025,clean_AP50_95,absolute_drop_AP50_95,retention_ratio
contrast,2,S,hat,0.5912495241254828,0.356424463432278,0.8736263736263736,0.5741758241758241,0.5744331893389237,0.21800872590664572,0.6204802752474362
contrast,2,S,person,0.6217190419871411,0.27763668080068593,0.8337923213996437,0.4764296128300664,0.5338843203866451,0.2562476395859592,0.5200315315490409
contrast,2,M,all_macro,0.8542432985582052,0.565484273952028,0.928785555153391,0.7745135933326677,0.6939112923987594,0.12842701844673132,0.8149230026178473
contrast,2,L,all_macro,0.9166158032213689,0.7154857888426944,0.9233853927423059,0.7394350022967386,0.8156218251468484,0.10013603630415402,0.8772273703120621
contrast,3,ALL,all_macro,0.546357103348258,0.3488745133840539,0.6875944966759926,0.4163083429193198,0.6069524313063762,0.2580779179223223,0.5747971264126129
contrast,3,ALL,hat,0.6670314051060837,0.5019827815501806,0.7960596379126731,0.5985090521831736,0.7125204886571556,0.21053770710697495,0.7045169781661118
contrast,3,ALL,person,0.4256828015904324,0.19576624521792718,0.579129355439312,0.2341076336554659,0.5013843739555969,0.3056181287376697,0.3904514288577818
contrast,3,ES,all_macro,0.17867202202317112,0.05935246899614837,0.32099900159583816,0.06629047471877517,0.3141471092881632,0.2547946402920148,0.1889320870423961
contrast,3,ES,hat,0.06459135300138277,0.018970436341216354,0.23943661971830985,0.07042253521126761,0.22565674694100948,0.20668631059979314,0.08406766736815341
contrast,3,ES,person,0.2927526910449595,0.09973450165108039,0.4025613834733665,0.06215841422628273,0.40263747163531693,0.30290296998423655,0.24770298016726439
contrast,3,S,all_macro,0.4824657026270452,0.24835565556352054,0.7521871656611654,0.400854794808302,0.5541587548627844,0.30580309929926386,0.4481669799207919
contrast,3,S,hat,0.45488726581723815,0.274886172894476,0.7664835164835165,0.4697802197802198,0.5744331893389237,0.29954701644444776,0.47853462856285145
contrast,3,S,person,0.5100441394368522,0.2218251382325651,0.7378908148388142,0.33192936983638427,0.5338843203866451,0.31205918215408,0.41549288818206315
contrast,3,M,all_macro,0.7701270314761535,0.4972053283078953,0.8807408545717781,0.660431903846634,0.6939112923987594,0.19670596409086405,0.7165257775084224
contrast,3,L,all_macro,0.8472290496882242,0.6485935797272608,0.846054203031695,0.6135231970601746,0.8156218251468484,0.1670282454195876,0.7952136146068491
contrast,4,ALL,all_macro,0.3067775462116908,0.19314142871052548,0.3874812682602301,0.17917280278380257,0.6069524313063762,0.41381100259585074,0.3182151001435431
contrast,4,ALL,hat,0.40063647685757636,0.2836103779988222,0.5729499467518637,0.29818956336528224,0.7125204886571556,0.42891011065833334,0.39803820734099254
