corruption,severity,size_bin,class_id,class_name,gt_count,AP50,AP50_95,R50_max,R50_at_conf_025,eval_predictions_at_iou50,ignored_predictions_at_iou50
impulse_noise,4,L,all,all_macro,972,0.012133493715674806,0.006501111981660336,0.04823151125401929,0.002411575562700965,2092,20718
impulse_noise,5,ALL,0,hat,1878,0.0019540757697822453,0.0006935762741933985,0.0154419595314164,0.0,8514,0
impulse_noise,5,ALL,1,person,22558,0.0,0.0,0.0,0.0,1140,0
impulse_noise,5,ES,0,hat,213,0.0,0.0,0.0,0.0,5234,3280
impulse_noise,5,ES,1,person,12259,0.0,0.0,0.0,0.0,1103,37
impulse_noise,5,S,0,hat,364,0.0011874814364056534,0.00011874814364056534,0.0027472527472527475,0.0,423,8091
impulse_noise,5,S,1,person,6173,0.0,0.0,0.0,0.0,24,1116
impulse_noise,5,M,0,hat,679,0.020807407407407406,0.012848937282179285,0.005891016200294551,0.0,126,8388
impulse_noise,5,M,1,person,3776,0.0,0.0,0.0,0.0,12,1128
impulse_noise,5,L,0,hat,622,0.005100782466708868,0.0016526215816743705,0.03858520900321544,0.0,2731,5783
impulse_noise,5,L,1,person,350,0.0,0.0,0.0,0.0,1,1139
impulse_noise,5,ALL,all,all_macro,24436,0.0009770378848911227,0.00034678813709669923,0.0077209797657082,0.0,9654,0
impulse_noise,5,ES,all,all_macro,12472,0.0,0.0,0.0,0.0,6337,3317
impulse_noise,5,S,all,all_macro,6537,0.0005937407182028267,5.937407182028267e-05,0.0013736263736263737,0.0,447,9207
impulse_noise,5,M,all,all_macro,4455,0.010403703703703703,0.006424468641089642,0.0029455081001472753,0.0,138,9516
impulse_noise,5,L,all,all_macro,972,0.002550391233354434,0.0008263107908371853,0.01929260450160772,0.0,2732,6922
defocus_blur,1,ALL,0,hat,1878,0.7813645225812285,0.5874138618439833,0.8626198083067093,0.7071352502662407,11042,0
defocus_blur,1,ALL,1,person,22558,0.5969651147297388,0.2615411302486649,0.7824718503413424,0.5372373437361468,123088,0
defocus_blur,1,ES,0,hat,213,0.16253123153243249,0.0513828960627752,0.3286384976525822,0.08450704225352113,1423,9619
defocus_blur,1,ES,1,person,12259,0.48903737382689155,0.16752076497556523,0.7085406640019577,0.4598254343747451,58402,64686
defocus_blur,1,S,0,hat,364,0.6008147116543857,0.35522360420032595,0.8434065934065934,0.554945054945055,4488,6554
